id,year,name,consecutive_number,government_body_id,m_code,ministry,org_number,head_count,annual_work_head_count,vat,comment
1137,2003,Länsstyrelsen i Östergötlands län,1021,LOGTL,LOGTL,Finansdepartementet,202100-2270,0,0,Rätt till kompensation,""
8,1999,Arbetslivsinstitutet,1181,ALI,ALI,Näringsdepartementet,202100-3963,0,0,Rätt till kompensation,""
1109,2003,Livsmedelsekonomiska institutet,1254,SLI,SLI,Landsbygdsdepartementet,202100-5117,0,0,Rätt till kompensation,""
3185,2011,Statens inspektion för försvarsunderrättelseverksamheten,1359,FUN,FUN,Försvarsdepartementet,202100-6214,3,4,Rätt till kompensation,"Myndigheten startar 1/8 2009, Myndigheten bytte namn den 1/12 från Försvarets underrättelsenämnd."
3909,2014,Tullverket,1023,TV,TV,Finansdepartementet,202100-0969,2107,1892,Rätt till kompensation,""
4751,2018,Statens beredning för medicinsk och social utvärdering,1202,SBU,SBU,Socialdepartementet,202100-4417,82,77,Rätt till kompensation,Namnbyte från Statens beredning för medicinsk utvärdering till Statens beredning för medicinsk och social utvärdering fr.o.m. 2015-07-01.
2127,2007,Läkemedelsförmånsnämnden,1280,LFN,LFN,Socialdepartementet,202100-5364,27,27,Rätt till kompensation,""
344,2000,Konjunkturinstitutet,1075,KONJ,KONJ,Finansdepartementet,202100-0845,0,0,Rätt till kompensation,""
4992,2019,Strålsäkerhetsmyndigheten,1343,SSM,SSM,Miljödepartementet,202100-5737,296,262,Rätt till kompensation,""
6029,2024,Rymdstyrelsen,1132,RS,RS,Utbildningsdepartementet,202100-2585,27,24,Rätt till kompensation,""
2514,2008,Verket för näringslivsutveckling,1192,NUTEK,NUTEK,Näringsdepartementet,202100-4219,259,245,Rätt till kompensation,""
829,2002,Institutet för rymdfysik,1095,IRF,IRF,Utbildningsdepartementet,202100-3567,0,0,Ja,""
1455,2004,Statens bostadsnämnd,1279,SBN,SBN,Miljö- och samhällsbyggnadsdepartementet,202100-5372,0,0,Rätt till kompensation,""
1785,2006,Barnombudsmannen,1207,BO,BO,Socialdepartementet,202100-3690,26,25,Rätt till kompensation,""
4083,2015,Skatteverket,1128,SKV,SKV,Finansdepartementet,202100-5448,10649,9589,Rätt till kompensation,Ersätter Riksskatteverket fr.o.m. 2004-01-01
1013,2002,Överklagandenämnden för studiestöd,1272,OKS,OKS,Utbildningsdepartementet,202100-5273,0,0,Rätt till kompensation,""
6303,2025,Universitetskanslersämbetet,1383,UKÄ,UKÄ,Utbildningsdepartementet,202100-6495,126,113,Rätt till kompensation,""
