year,committee,doc_count
2021,Miljödepartementet,2
2022,SoU,385
2022,TU,320
2022,MJU,317
2022,JuU,278
2022,UbU,266
2022,CU,224
2022,NU,193
2022,SfU,184
2022,KU,181
2022,SkU,176
2022,FiU,162
2022,UU,133
2022,KrU,119
2022,AU,110
2022,Finansdepartementet,79
2022,Justitiedepartementet,55
2022,FöU,52
2022,Socialdepartementet,29
2022,Infrastrukturdepartementet,17
2022,Utbildningsdepartementet,15
2022,Utrikesdepartementet,14
2022,Näringsdepartementet,10
2022,Miljödepartementet,9
2022,Arbetsmarknadsdepartementet,7
2022,Kulturdepartementet,6
2022,Försvarsdepartementet,3
2022,Statsrådsberedningen,2
2022,UFöU,1
2023,SoU,377
2023,TU,372
2023,MJU,359
2023,UbU,261
2023,JuU,259
2023,CU,223
2023,KU,205
2023,NU,199
2023,SkU,198
2023,SfU,150
2023,FiU,148
2023,UU,141
2023,KrU,129
2023,AU,92
2023,FöU,70
2023,Finansdepartementet,57
2023,Justitiedepartementet,35
2023,Socialdepartementet,16
2023,Klimat- och näringslivsdepartementet,14
2023,Landsbygds- och infrastrukturdepartementet,9
2023,Utbildningsdepartementet,9
2023,Utrikesdepartementet,5
2023,Försvarsdepartementet,5
2023,Statsrådsberedningen,4
2023,Arbetsmarknadsdepartementet,3
2023,Kulturdepartementet,2
2023,ku,1
2024,SoU,431
2024,TU,430
2024,MJU,382
2024,JuU,341
2024,UbU,283
2024,CU,258
2024,KU,251
2024,SkU,238
2024,NU,221
2024,SfU,185
2024,UU,174
2024,FiU,161
2024,KrU,152
2024,AU,127
2024,FöU,97
2024,Finansdepartementet,54
2024,Justitiedepartementet,42
2024,Socialdepartementet,19
2024,Klimat- och näringslivsdepartementet,16
2024,Landsbygds- och infrastrukturdepartementet,16
2024,Utrikesdepartementet,9
2024,Försvarsdepartementet,7
2024,Utbildningsdepartementet,7
2024,Arbetsmarknadsdepartementet,5
2024,Kulturdepartementet,4
2024,Statsrådsberedningen,4
2024,UFöU,3
2025,SoU,557
2025,TU,498
2025,MJU,429
2025,JuU,378
2025,UbU,334
2025,KU,321
2025,CU,316
2025,NU,249
2025,SkU,248
2025,UU,219
2025,FiU,174
2025,SfU,174
2025,KrU,157
2025,AU,141
2025,FöU,137
2025,Finansdepartementet,65
2025,Justitiedepartementet,45
2025,Socialdepartementet,27
2025,Landsbygds- och infrastrukturdepartementet,22
2025,Klimat- och näringslivsdepartementet,17
2025,Försvarsdepartementet,10
2025,Utbildningsdepartementet,10
2025,Utrikesdepartementet,8
2025,Kulturdepartementet,5
2025,Arbetsmarknadsdepartementet,4
2025,UFöU,3
2025,Statsrådsberedningen,3
2026,JuU,23
2026,FiU,22
2026,UbU,14
2026,TU,14
2026,SoU,13
2026,SkU,11
2026,AU,9
2026,KU,7
2026,SfU,6
2026,Finansdepartementet,6
2026,UU,4
2026,CU,4
2026,Justitiedepartementet,4
2026,FöU,3
2026,Klimat- och näringslivsdepartementet,2
2026,MJU,1
2026,KrU,1
2026,Socialdepartementet,1
