vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2019-04-01,120,41880,25057,7067,4811,4945,120,1973,61.37,17.17,11.92,9.54,53.01,100.00,59.83,16.87,11.49,11.81,100.00
2021-06-01,155,54095,5731,2130,809,45425,140,1973,10.48,4.10,83.97,1.44,53.01,90.88,10.59,3.94,1.50,83.97,90.32
2022-05-01,143,49907,27656,10145,3944,8162,125,1973,53.39,20.04,16.62,9.96,53.26,90.90,55.42,20.33,7.90,16.35,87.41
2009-02-01,38,13262,7134,3127,336,2665,38,1959,51.70,26.54,20.10,1.66,52.48,100.00,53.79,23.58,2.53,20.10,100.00
2014-03-01,101,35249,21713,6614,2325,4597,101,1963,60.00,19.55,14.17,6.28,56.73,100.00,61.60,18.76,6.60,13.04,100.00
2023-11-01,18,6282,3869,1097,349,967,18,1975,63.53,17.08,15.55,3.85,53.30,100.00,61.59,17.46,5.56,15.39,100.00
2003-05-01,79,27571,16605,5064,1387,4515,74,1954,62.65,16.99,15.60,4.76,55.11,96.09,60.23,18.37,5.03,16.38,93.67
2023-12-01,13,4537,2660,952,255,670,13,1975,59.00,21.29,14.80,4.92,53.30,100.00,58.63,20.98,5.62,14.77,100.00
2004-10-01,22,7678,4763,1400,280,1235,21,1954,59.90,18.64,16.50,4.97,53.44,97.73,62.03,18.23,3.65,16.08,95.45
2017-06-01,75,26175,16363,5273,1511,3028,75,1969,58.28,22.20,12.59,6.94,53.87,100.00,62.51,20.15,5.77,11.57,100.00
2011-12-01,54,18846,11754,4168,1341,1583,54,1963,61.11,23.77,7.76,7.37,55.54,100.00,62.37,22.12,7.12,8.40,100.00
2025-09-01,2,698,537,37,31,93,2,1975,76.94,5.30,13.33,4.44,55.01,100.00,76.93,5.30,4.44,13.32,100.00
2022-10-01,2,698,455,108,34,101,2,1975,65.19,15.47,14.47,4.88,52.72,100.00,65.19,15.47,4.87,14.47,100.00
