table_schema,table_name,column_name
public,view_riksdagen_party,head_count
public,view_riksdagen_party,high_activity_members
public,view_riksdagen_party,individual_focused_members
public,view_riksdagen_party,low_activity_members
public,view_riksdagen_party,medium_activity_members
public,view_riksdagen_party,party_focused_members
public,view_riksdagen_party,party_id
public,view_riksdagen_party,party_name
public,view_riksdagen_party,party_number
public,view_riksdagen_party,registered_date
public,view_riksdagen_party,total_documents
public,view_riksdagen_party,very_high_activity_members
public,view_riksdagen_party,website
public,view_riksdagen_party_ballot_support_annual_summary,agree_count
public,view_riksdagen_party_ballot_support_annual_summary,disagre_count
public,view_riksdagen_party_ballot_support_annual_summary,disagree_percentage
public,view_riksdagen_party_ballot_support_annual_summary,embedded_id_date
public,view_riksdagen_party_ballot_support_annual_summary,embedded_id_other_party
public,view_riksdagen_party_ballot_support_annual_summary,embedded_id_party
public,view_riksdagen_party_ballot_support_annual_summary,total_ballots
public,view_riksdagen_party_coalation_against_annual_summary,embedded_id_group_against
public,view_riksdagen_party_coalation_against_annual_summary,embedded_id_year
public,view_riksdagen_party_coalation_against_annual_summary,total
public,view_riksdagen_party_document_summary,active_members_last_year
public,view_riksdagen_party_document_summary,avg_collaboration_pct
public,view_riksdagen_party_document_summary,avg_docs_per_year
public,view_riksdagen_party_document_summary,avg_documents_per_member
public,view_riksdagen_party_document_summary,committee_focused_members
public,view_riksdagen_party_document_summary,first_party_document
public,view_riksdagen_party_document_summary,high_activity_members
public,view_riksdagen_party_document_summary,individual_focused_members
public,view_riksdagen_party_document_summary,last_party_document
public,view_riksdagen_party_document_summary,low_activity_members
public,view_riksdagen_party_document_summary,medium_activity_members
public,view_riksdagen_party_document_summary,party
public,view_riksdagen_party_document_summary,party_focused_members
public,view_riksdagen_party_document_summary,total_collaborative_motions
public,view_riksdagen_party_document_summary,total_committee_motions
public,view_riksdagen_party_document_summary,total_contributing_members
public,view_riksdagen_party_document_summary,total_documents_last_year
public,view_riksdagen_party_document_summary,total_government_communications
public,view_riksdagen_party_document_summary,total_individual_motions
public,view_riksdagen_party_document_summary,total_party_documents
public,view_riksdagen_party_document_summary,total_party_motions
public,view_riksdagen_party_document_summary,total_propositions
public,view_riksdagen_party_document_summary,very_high_activity_members
public,view_riksdagen_party_member,activity_level
public,view_riksdagen_party_member,activity_profile
public,view_riksdagen_party_member,address
public,view_riksdagen_party_member,born_year
public,view_riksdagen_party_member,city
public,view_riksdagen_party_member,co_address
public,view_riksdagen_party_member,collaboration_percentage
public,view_riksdagen_party_member,committee_motions
public,view_riksdagen_party_member,documents_last_year
public,view_riksdagen_party_member,election_region
public,view_riksdagen_party_member,email
public,view_riksdagen_party_member,fax_number
public,view_riksdagen_party_member,first_name
public,view_riksdagen_party_member,gender
public,view_riksdagen_party_member,hangar_guid
public,view_riksdagen_party_member,hjid
public,view_riksdagen_party_member,id
public,view_riksdagen_party_member,image_url_192
public,view_riksdagen_party_member,image_url_80
public,view_riksdagen_party_member,image_url_max
public,view_riksdagen_party_member,individual_motions
public,view_riksdagen_party_member,last_name
public,view_riksdagen_party_member,multi_party_motions
public,view_riksdagen_party_member,parties_sweden_election_regi_0
public,view_riksdagen_party_member,party
public,view_riksdagen_party_member,party_id
public,view_riksdagen_party_member,party_motions
public,view_riksdagen_party_member,party_name
public,view_riksdagen_party_member,person_assignment_data_perso_0
public,view_riksdagen_party_member,person_detail_data_person_da_0
public,view_riksdagen_party_member,person_url_xml
public,view_riksdagen_party_member,phone_number
public,view_riksdagen_party_member,place
public,view_riksdagen_party_member,post_code
public,view_riksdagen_party_member,registered_date
public,view_riksdagen_party_member,short_code
public,view_riksdagen_party_member,status
public,view_riksdagen_party_member,total_documents
public,view_riksdagen_party_member,website
public,view_riksdagen_party_momentum_analysis,acceleration
public,view_riksdagen_party_momentum_analysis,ballots_participated
public,view_riksdagen_party_momentum_analysis,intelligence_assessment
